TweetID,UserID
1586729030073688066,1082077452191584256
1586701024143761408,3406852581
1586667054429601792,2851061793
1586659380149223431,720233203605180416
1586649867170058241,1301781871953686529
1586629146561634304,1082038116335140866
1586515928728055809,129918701
1586505456461271040,1217561061311897601
1586432400782872576,1203278237411004417
1586408591732375556,1261269268395708417
1586354830515343360,116150071
1586353234087923712,116150071
1585986420342026241,957038570312790017
1585890543317327874,957038570312790017
1585372349628837889,1457495070244945922
1585367560006078484,1516413962
1585246287733338112,846724193345527808
1585172959718957057,1270591129
1584986928835088384,2760149452
1584920524525805569,970715556545531905
1584886876296843266,275141791
1584781551841071104,1536074244
1584618657606356993,309349395
1584604517844516864,1457495070244945922
1584603913076211712,1457495070244945922
1584603294261202945,1457495070244945922
1584601723892797440,1457495070244945922
1584480767383867392,1537826190010077186
1584471790532771841,1282412033489739779
1584465583407779841,242520733
1584303782644842497,901532290077077504
1584302822442795008,901532290077077504
1583891616468566018,1477886036302696450
1583809909321535489,1081470344437919748
1583429745714561029,1117776886686470145
1583082070569783297,1276057211639336960
1581728451157192704,320073250
1581603891954581504,833544452614533124
1581567813570859008,131483461
1581463093497851909,1433652802107191304
1581433871505444864,1470466412661587975
1581273149852688384,763127826635747328
1581233287372034048,1247836674375155713
1581147517399445504,827664704986284032
1580990763168829441,1347184054165241860
1580306055917350913,1542523910658265090
1580001075016237056,1457495070244945922
1579849463765798913,1139550843198431232
1579413387326689286,46352289
1579404118191665153,287602791
1579229952226267136,1533584919221387264
1579157930850455552,1548587899
1579136976170516480,2230747899
1579117135392952320,2162212442
1579112899305349120,2230747899
1579103086005874690,2230747899
1579099140478603265,2230747899
1579097542708858880,2230747899
1579096364037787648,2230747899
1579073309215293440,2978559371
1579040132660764672,2424866971
1578863741839736832,2864721233
1578753257182490625,436889674
1578679450140479488,1085420037480112128
1578671436159684608,1351355707
1578460666360627201,1163092183232258048
1578402522137493504,1577575932159827968
1578358368695070720,471810431
1578326655927394305,1536073877948100609
1578173442683465728,770743250042912772
1577962105315139584,1085420037480112128
1577941377647788034,777452239816458240
1577800453450080256,4104709933
1577728840834715660,1572504644261142528
1577685807904833536,1085420037480112128
1577589509407100929,551332142
1577589153243463681,2559186603
1577557699801358338,1177502889847091202
1577389564653719554,720233203605180416
1577373190728417280,1491798609255227397
1577248760203075584,1045416105546862592
1577179155124441088,1183848432349405184
1577025443156328487,1182199392868196352
1577004643548155904,920038762222153728
1577003808651186210,579256074
1577001441121783808,384468005
1576995632945979394,762166653425680384
1576987686476271617,1555245775
1576849555496255489,720233203605180416
1576817739616120833,1445495123740004353
1576794976264294405,1328729898811338752
1576718907553058816,959528418953056256
1576677273691951104,720233203605180416
1576670616811622400,1085420037480112128
1576666919465529344,1182827401153273856
1576662344083521536,1338920541894430720
1576505584244752384,424982918
1576487229714825219,720233203605180416
1576404264779481088,1286906283958902786
1576315168560418817,1227237387853537281
1576273448975966208,926517325104369665
1576259618028027904,262369133
1576082129204969473,2780170263
1575964102966509573,338653384
1575961125400649728,1481706497457496064
1575960436637196288,713152810
1575948200145719296,1278115041028554752
1575881493397872641,1560885537132650496
1575881199574097922,88426688
1575875410629480448,720233203605180416
1575843425454329857,1317069869679058945
1575838412657283073,1317069869679058945
1575819914191196160,3320680283
1575811964726439938,39975533
1575811956925075456,39975533
1575807737895714817,58542049
1575804285761499140,204481211
1575797956673826816,1127474887885508608
1575773249039785985,1171351583973675008
1575772768951574529,860057233337581569
1575770319998308357,44900997
1575769810084204544,1369578444481257473
1575766184032497665,24291371
1575757767087837184,581078711
1575754121101164546,1523558933163495424
1575747274960953345,875923301549387778
1575741099112812544,2307894797
1575739604958945280,3097746231
1575735247022555137,1183275293391360000
1575726463600320513,957704720344387586
1575721678939820033,1318306107547389952
1575713314126331904,1575709015463510016
1575704292140498944,894180368751972352
1575681173560311809,1539980931552903168
1575662836696637440,1281342005365309440
1575662834125602819,3726097097
1575628777891270657,1099915012037099521
1575627081043484673,1114685454
1575626762901286912,1114685454
1575626027522723842,430939477
1575625821808693248,274958962
1575621577009516544,937351027
1575621361535397888,1119250904677535744
1575620352901775360,1563562728035209218
1575619312122925056,1111772716351307776
1575619286906900488,1154077700438601729
1575618353506680840,1287670802310209536
1575616959471026180,776038283591704576
1575615986581241857,1085420037480112128
1575615934701543424,430939477
1575615807035301888,2624030122
1575615624176279556,1085420037480112128
1575615514205831169,904263470664880128
1575614681364172801,1341675098223329280
1575613684700786688,173787458
1575613489799782400,1111772716351307776
1575613073745883137,911596806387245056
1575613055118950400,904116340067356672
1575612754312011814,1401340584
1575612712398520321,434746817
1575612568344805376,1181759701442334721
1575612247707357185,967145544081604613
1575612171039682561,3079486599
1575612170020061185,268474417
1575612099878739970,277175659
1575611760572502017,273536455
1575611741480034304,3386582008
1575611087788965888,1523160438166458370
